Min_RR,Max_RR,Mean_RR,Median_RR,Std_RR,Min_QT,Max_QT,Mean_QT,Median_QT,Std_QT,Min_QRS,Max_QRS,Mean_QRS,Median_QRS,Std_QRS,Label
308.0,912.0,458.1224489795918,436.0,111.66549281294988,-1992.0,376.0,-723.020979020979,-904.0,635.7829979945215,-2108.0,176.0,-858.013986013986,-1028.0,629.8582589581707,1
520.0,552.0,536.0,536.0,16.0,,,,,,,,,,,1
308.0,1004.0,464.01393728222996,448.0,109.73493474419683,-6924.0,308.0,-4434.294117647059,-4544.0,1651.0846796506721,-7024.0,136.0,-4572.205882352941,-4688.0,1647.4517805924283,1
304.0,720.0,452.0,440.0,99.51265864586892,-452.0,40.0,-229.66666666666666,-218.0,111.50435965567546,-580.0,-160.0,-357.0,-346.0,97.73603907123173,1
352.0,692.0,454.44444444444446,460.0,67.48351421908927,-2156.0,-88.0,-700.3870967741935,-320.0,699.7668587520419,-2260.0,-296.0,-833.6774193548387,-416.0,687.356619047332,1
328.0,644.0,481.14285714285717,468.0,117.88060372552339,156.0,352.0,283.42857142857144,320.0,72.83417004765423,60.0,180.0,126.28571428571429,124.0,39.41614711081265,1
356.0,512.0,428.8888888888889,404.0,57.18672037854873,140.0,316.0,201.5,180.0,59.26002024974342,56.0,120.0,83.5,72.0,24.03643068344383,1
340.0,2628.0,528.6658624849216,504.0,154.8932331764238,-37188.0,392.0,-17634.094986807388,-15280.0,9334.65501304753,-37304.0,160.0,-17847.514511873353,-15498.0,9329.655022322177,1
376.0,876.0,535.0236220472441,520.0,117.21247041815323,-6180.0,412.0,-3209.426086956522,-3132.0,2138.394501614906,-6408.0,152.0,-3429.669565217391,-3320.0,2143.4180250112877,1
316.0,2876.0,546.1566579634465,528.0,151.18127207052507,-41976.0,4.0,-21714.93371757925,-22056.0,10690.988520392166,-42264.0,-284.0,-21940.818443804033,-22236.0,10693.658301087104,1
352.0,2408.0,521.5172413793103,504.0,172.30454163114658,-13696.0,388.0,-3596.7008547008545,-2660.0,3406.5536818660535,-14352.0,144.0,-4258.222222222223,-3414.0,3474.875210478077,1
344.0,924.0,526.3529411764706,508.0,138.10862782456704,-1992.0,452.0,-635.3333333333334,-358.0,650.7556291641962,-2144.0,180.0,-868.4166666666666,-634.0,630.4248512357008,1
388.0,828.0,524.9411764705883,508.0,106.84373999016745,-596.0,412.0,102.25,232.0,309.81597360368625,-712.0,200.0,-109.5,102.0,290.3028590971849,1
304.0,1328.0,524.0382775119617,496.0,148.57794329373613,-16260.000000000002,1372.0,-6150.377777777778,-5582.0,4646.69608211105,-17008.0,296.0,-6828.111111111111,-6260.0,4696.658148666144,1
308.0,1040.0,551.4128440366973,522.0,140.46353217731627,-11860.0,400.0,-5112.923076923077,-3884.0,3626.0133945798634,-12076.0,188.0,-5349.210256410256,-4083.9999999999995,3626.16822157727,1
380.0,988.0,517.2280701754386,506.0,96.8299318562877,-8664.0,436.0,-4028.536082474227,-3360.0,2464.768231348551,-8784.0,160.0,-4235.257731958763,-3592.0,2458.1565017676326,1
380.0,928.0,534.5365853658536,508.0,106.57996674759055,-5488.0,428.0,-2573.097345132743,-3024.0,1775.12896185936,-5664.0,200.0,-2799.716814159292,-3276.0,1788.90786611108,1
380.0,848.0,512.2086956521739,500.0,79.0074840320921,-5384.0,384.0,-3237.576923076923,-4074.0,1618.1743196263576,-5512.0,120.0,-3418.346153846154,-4282.0,1620.2027043720295,1
336.0,1092.0,546.4249628528975,520.0,108.56334871600997,-37504.0,464.0,-19416.35702479339,-19596.0,12320.178327763977,-37668.0,200.0,-19650.20826446281,-19840.0,12320.74506238008,1
376.0,908.0,551.9047619047619,524.0,120.4356792419386,-9416.0,480.0,-3850.109090909091,-3210.0,2495.134739832171,-9556.0,200.0,-4084.690909090909,-3420.0,2497.3721088210614,1
372.0,956.0,554.1818181818181,524.0,127.57793131380667,-13260.0,-192.0,-6216.85549132948,-6480.0,3581.879805972719,-14216.0,-336.0,-6662.335260115607,-6844.0,3787.567981842758,1
368.0,1024.0,550.434250764526,520.0,113.00940850647343,-12752.0,488.0,-6138.556291390729,-6908.0,3639.9449647170527,-13316.0,208.0,-6836.503311258278,-7678.0,3781.4365903813764,1
332.0,1268.0,550.8077753779697,528.0,150.6511560694861,-22108.0,460.0,-10872.522565320665,-10944.0,6449.850491009785,-22296.0,200.0,-11096.74109263658,-11196.0,6452.680204851207,1
376.0,1048.0,548.9402390438247,516.0,125.46369935133802,-10744.0,412.0,-6220.521739130435,-6796.0,3019.7133648823606,-10972.0,172.0,-6452.904347826087,-7066.0,3030.816222316912,1
372.0,956.0,550.7081712062256,524.0,109.4149121791054,-10976.0,428.0,-5134.210970464135,-5288.0,3315.877126801961,-11196.0,196.0,-5357.957805907173,-5408.0,3316.372368414526,1
356.0,1164.0,538.9349112426036,508.0,125.04541858940384,-7512.0,440.0,-4703.142857142857,-5962.0,2539.960321370649,-8196.0,176.0,-5041.038961038961,-6176.0,2643.817971422107,1
364.0,1108.0,532.8,508.0,111.28117150010051,-5940.0,400.0,-2274.1923076923076,-1272.0,1951.1090242618973,-6196.0,172.0,-2493.5,-1492.0,1948.7838564681228,1
304.0,1176.0,582.9683257918552,520.0,195.5316777552791,-6732.0,216.0,-3794.1784037558687,-3844.0,1070.6765997805499,-7024.0,84.0,-4031.830985915493,-4043.9999999999995,1075.101693880822,1
364.0,936.0,557.7142857142857,516.0,144.7865893741027,-1460.0,476.0,-17.894736842105264,252.0,602.4782061781717,-1576.0,200.0,-224.73684210526315,106.0,573.3387757692252,1
388.0,956.0,528.3841807909605,504.0,96.06088805038948,-12860.0,396.0,-5093.736842105263,-3554.0,4326.363312263002,-13108.0,136.0,-5314.631578947368,-3842.0,4331.565004773877,1
