Min_RR,Max_RR,Mean_RR,Median_RR,Std_RR,Min_QT,Max_QT,Mean_QT,Median_QT,Std_QT,Min_QRS,Max_QRS,Mean_QRS,Median_QRS,Std_QRS,Label
312.0,2872.0,678.7330016583747,608.0,245.8122354156619,136.0,3280.0,530.5448504983389,416.0,395.4685964512612,40.0,240.0,98.5804311774461,84.0,34.06755675171516,0
376.0,936.0,672.6666666666666,622.0,207.4212032448842,176.0,468.0,304.3333333333333,288.0,100.56451770988723,80.0,136.0,99.0,90.0,19.330459556530638,0
468.0,1056.0,628.2285714285714,582.0,127.13976240214338,168.0,432.0,304.9714285714286,292.0,81.3189437477203,76.0,168.0,109.71428571428571,86.0,31.954048640036145,0
304.0,1628.0,738.7787716159809,764.0,108.82510625450193,-2588.0,2492.0,-442.0660565061679,-428.0,768.7307529733022,-3444.0,1200.0,-1351.3465976920015,-1434.0,768.0968131237388,0
308.0,1264.0,732.1188118811881,800.0,136.25887469534538,164.0,508.0,247.4257425742574,188.0,94.02204781823109,68.0,208.0,92.25742574257426,84.0,22.367167179386495,0
308.0,1352.0,656.137049941928,608.0,188.1237386176529,-1140.0,484.0,-340.0232423009878,-360.0,297.43656208708956,-1276.0,240.0,-521.3038930854154,-512.0,242.32148831212115,0
352.0,944.0,763.2903225806451,820.0,129.37139839837806,-648.0,532.0,175.6972972972973,192.0,313.54254031516996,-760.0,192.0,-26.681081081081082,80.0,287.40071078720985,0
452.0,10700.0,569.3411764705883,564.0,235.06558002847615,472.0,66976.0,30766.973188819167,27860.0,19395.622551982524,72.0,216.0,193.38181818181818,200.0,24.35966445395314,0
304.0,4072.0,582.872674495316,584.0,39.69313638382197,300.0,81092.0,44218.15640599002,56348.0,21622.20560621035,48.0,244.0,188.49135769890486,204.0,41.747565683806286,0
572.0,1180.0,602.9906542056075,600.0,44.97507000552552,268.0,556.0,489.5700934579439,516.0,72.03583118669222,104.0,212.0,190.0,204.0,34.5367202659571,0
576.0,2000.0,693.0666666666667,622.0,290.58274017719793,204.0,600.0,492.6666666666667,508.0,104.81263706676256,76.0,204.0,157.86666666666667,176.0,43.16459454486075,0
364.0,788.0,574.5378590078329,576.0,40.93468021741852,308.0,3496.0,1876.2857142857142,1664.0,970.5767242349293,64.0,212.0,192.3864229765013,204.0,32.61768447435548,0
552.0,780.0,596.7272727272727,596.0,12.346981155923373,308.0,2444.0,1875.834051724138,2148.0,563.9309523451377,104.0,208.0,189.46745562130178,204.0,33.45480023036332,0
304.0,1920.0,582.5621854780733,580.0,85.93728328128961,312.0,32916.0,11215.658246656762,7408.0,8773.62152707996,60.0,212.0,177.2710280373832,200.0,41.18078204452459,0
320.0,2248.0,567.6969359331476,564.0,68.4182253209706,300.0,22400.0,8550.232822260079,8624.0,5592.055583537354,56.0,212.0,142.11371237458195,196.0,65.46368700182322,0
568.0,668.0,610.2513661202186,608.0,21.048011361806154,232.0,1172.0,652.4835164835165,524.0,292.2611117145102,108.0,212.0,197.11475409836066,204.0,21.047511977871824,0
592.0,656.0,626.5573770491803,628.0,13.257258562596524,300.0,564.0,475.344262295082,512.0,82.06892050575773,184.0,204.0,196.78688524590163,200.0,6.631061419125037,0
580.0,664.0,620.0,624.0,19.227639679887243,296.0,540.0,478.63829787234044,512.0,77.92315514493147,180.0,208.0,194.29787234042553,196.0,5.64146839801755,0
580.0,744.0,614.3260869565217,612.0,21.67101284507877,232.0,556.0,470.1521739130435,512.0,85.50399619222085,108.0,208.0,198.52173913043478,200.0,16.62598690164545,0
388.0,804.0,630.3370786516854,632.0,47.11853182033504,304.0,564.0,487.82022471910113,520.0,76.57361322705185,112.0,204.0,196.4494382022472,200.0,13.875053384616448,0
400.0,936.0,602.4162436548223,600.0,35.12312411814765,240.0,548.0,452.1015228426396,504.0,89.6734620422077,108.0,232.0,198.37563451776649,200.0,15.917331333490809,0
